record_date,region,site,team,manager_name,shift,employee_id,scheduled_start_ts,actual_start_ts,is_late,adherence_minutes,total_tasks,completed_tasks,utilization_rate,tenure_band,cohort
2026-01-28,East,PHX1,Support,Manager D,Night,E4978,2026-01-28T06:00:00,2026-01-28T06:03:00,0,3,65,49,0.826,0-3 months,Experienced
2026-06-25,Central,ATL1,Outbound,Manager D,Morning,E9031,2026-06-25T06:00:00,2026-06-25T05:53:00,0,-7,104,94,0.555,0-3 months,Experienced
2026-04-03,East,SEA2,Inbound,Manager C,Afternoon,E5397,2026-04-03T22:00:00,2026-04-03T22:00:00,0,0,101,87,0.88,1-3 years,New Hire
2026-01-23,Central,DAL1,Outbound,Manager D,Morning,E6576,2026-01-23T14:00:00,2026-01-23T13:59:00,0,-1,81,64,0.635,1-3 years,Experienced
2026-05-23,East,ATL1,Inbound,Manager B,Morning,E9041,2026-05-23T06:00:00,2026-05-23T05:59:00,0,-1,111,104,0.826,3+ years,New Hire
2026-01-24,Central,SEA2,Support,Manager B,Afternoon,E6419,2026-01-24T14:00:00,2026-01-24T14:01:00,0,1,87,75,0.762,1-3 years,Experienced
2026-03-11,West,PHX1,Inbound,Manager B,Morning,E4545,2026-03-11T14:00:00,2026-03-11T14:03:00,0,3,108,106,0.826,3+ years,Experienced
2026-05-31,West,SEA1,Outbound,Manager B,Morning,E1893,2026-05-31T14:00:00,2026-05-31T13:56:00,0,-4,41,38,0.601,1-3 years,New Hire
2026-06-13,Central,SEA1,Support,Manager C,Morning,E2869,2026-06-13T22:00:00,2026-06-13T21:59:00,0,-1,83,66,0.571,0-3 months,Experienced
2026-05-06,Central,ATL1,Support,Manager A,Night,E4697,2026-05-06T06:00:00,2026-05-06T06:20:00,1,20,50,49,0.597,3+ years,Experienced
2026-04-24,West,ATL1,Outbound,Manager A,Afternoon,E5335,2026-04-24T14:00:00,2026-04-24T14:03:00,0,3,52,51,0.633,0-3 months,New Hire
2026-03-03,Central,ATL1,Inbound,Manager A,Morning,E5632,2026-03-03T08:00:00,2026-03-03T08:03:00,0,3,116,100,0.563,3+ years,New Hire
2026-06-25,West,PHX1,Support,Manager B,Night,E2169,2026-06-25T08:00:00,2026-06-25T08:00:00,0,0,68,62,0.913,0-3 months,New Hire
2026-03-20,East,DAL1,Outbound,Manager C,Morning,E1653,2026-03-20T14:00:00,2026-03-20T13:56:00,0,-4,104,92,0.725,3+ years,Experienced
2026-06-04,West,SEA1,Inbound,Manager A,Morning,E8708,2026-06-04T14:00:00,2026-06-04T14:02:00,0,2,74,66,0.855,3+ years,Experienced
2026-02-16,East,DAL1,Outbound,Manager C,Morning,E9117,2026-02-16T22:00:00,2026-02-16T21:57:00,0,-3,53,51,0.682,1-3 years,Experienced
2026-05-21,East,DAL1,Outbound,Manager C,Morning,E8569,2026-05-21T06:00:00,2026-05-21T05:58:00,0,-2,105,100,0.55,3+ years,New Hire
2026-02-18,Central,ATL1,Support,Manager D,Afternoon,E8941,2026-02-18T14:00:00,2026-02-18T13:55:00,0,-5,74,65,0.921,0-3 months,New Hire
2026-06-11,Central,SEA2,Support,Manager A,Afternoon,E2924,2026-06-11T08:00:00,2026-06-11T07:53:00,0,-7,68,67,0.915,3-12 months,Experienced
2026-03-16,East,DAL1,Outbound,Manager B,Afternoon,E3236,2026-03-16T14:00:00,2026-03-16T13:54:00,0,-6,89,70,0.79,0-3 months,Experienced
2026-04-17,West,ATL1,Inbound,Manager C,Afternoon,E8316,2026-04-17T14:00:00,2026-04-17T14:01:00,0,1,114,113,0.746,3+ years,Experienced
2026-03-27,East,DAL1,Inbound,Manager B,Afternoon,E7246,2026-03-27T22:00:00,2026-03-27T21:55:00,0,-5,92,70,0.848,3+ years,New Hire
2026-05-07,East,SEA2,Support,Manager C,Night,E3361,2026-05-07T06:00:00,2026-05-07T05:59:00,0,-1,52,45,0.733,3+ years,New Hire
2026-01-20,East,PHX1,Support,Manager D,Afternoon,E8994,2026-01-20T22:00:00,2026-01-20T21:57:00,0,-3,108,91,0.677,0-3 months,New Hire
2026-03-02,West,SEA2,Inbound,Manager D,Night,E1753,2026-03-02T14:00:00,2026-03-02T14:02:00,0,2,52,44,0.828,1-3 years,New Hire
2026-03-17,Central,PHX1,Inbound,Manager B,Afternoon,E4945,2026-03-17T14:00:00,2026-03-17T14:01:00,0,1,63,49,0.582,3+ years,New Hire
2026-03-01,Central,PHX1,Outbound,Manager A,Afternoon,E6661,2026-03-01T22:00:00,2026-03-01T21:59:00,0,-1,76,69,0.613,1-3 years,Experienced
2026-06-26,Central,DAL1,Inbound,Manager D,Afternoon,E5837,2026-06-26T14:00:00,2026-06-26T13:53:00,0,-7,70,59,0.694,0-3 months,Experienced
2026-03-12,West,ATL1,Support,Manager A,Night,E6772,2026-03-12T06:00:00,2026-03-12T06:03:00,0,3,103,98,0.911,3-12 months,New Hire
2026-06-08,West,SEA2,Inbound,Manager A,Night,E5835,2026-06-08T14:00:00,2026-06-08T13:59:00,0,-1,44,39,0.843,1-3 years,Experienced
2026-02-14,Central,SEA2,Outbound,Manager C,Night,E2886,2026-02-14T08:00:00,2026-02-14T07:56:00,0,-4,101,100,0.668,3+ years,New Hire
2026-02-06,East,DAL1,Outbound,Manager A,Night,E5295,2026-02-06T08:00:00,2026-02-06T07:52:00,0,-8,73,64,0.732,3+ years,Experienced
2026-01-28,East,DAL1,Support,Manager C,Morning,E5951,2026-01-28T08:00:00,2026-01-28T07:55:00,0,-5,48,43,0.736,3+ years,New Hire
2026-02-05,East,SEA1,Outbound,Manager A,Afternoon,E9850,2026-02-05T06:00:00,2026-02-05T06:35:00,1,35,57,48,0.698,3+ years,New Hire
2026-04-17,Central,DAL1,Outbound,Manager C,Night,E2627,2026-04-17T06:00:00,2026-04-17T06:24:00,1,24,67,57,0.93,1-3 years,Experienced
2026-01-16,Central,PHX1,Inbound,Manager D,Morning,E4990,2026-01-16T22:00:00,2026-01-16T22:14:00,1,14,116,115,0.57,3-12 months,New Hire
2026-01-18,West,ATL1,Inbound,Manager C,Morning,E9850,2026-01-18T08:00:00,2026-01-18T08:01:00,0,1,40,32,0.944,1-3 years,New Hire
2026-01-29,Central,SEA2,Outbound,Manager B,Morning,E9619,2026-01-29T06:00:00,2026-01-29T05:52:00,0,-8,62,50,0.601,0-3 months,New Hire
2026-05-02,East,PHX1,Support,Manager A,Night,E9543,2026-05-02T22:00:00,2026-05-02T21:55:00,0,-5,118,89,0.863,1-3 years,Experienced
2026-06-14,East,SEA1,Outbound,Manager D,Afternoon,E3430,2026-06-14T06:00:00,2026-06-14T05:59:00,0,-1,96,73,0.582,0-3 months,New Hire
2026-03-12,East,DAL1,Support,Manager C,Night,E4522,2026-03-12T14:00:00,2026-03-12T14:01:00,0,1,95,73,0.831,3+ years,Experienced
2026-02-28,West,PHX1,Outbound,Manager D,Afternoon,E8770,2026-02-28T22:00:00,2026-02-28T21:57:00,0,-3,94,77,0.652,0-3 months,New Hire
2026-01-22,Central,DAL1,Support,Manager C,Morning,E3002,2026-01-22T06:00:00,2026-01-22T06:00:00,0,0,47,42,0.775,3+ years,Experienced
2026-06-20,West,SEA1,Support,Manager C,Afternoon,E2773,2026-06-20T22:00:00,2026-06-20T22:01:00,0,1,104,83,0.813,1-3 years,Experienced
2026-01-30,Central,ATL1,Outbound,Manager A,Morning,E6567,2026-01-30T14:00:00,2026-01-30T14:02:00,0,2,74,56,0.659,1-3 years,New Hire
2026-02-16,Central,ATL1,Outbound,Manager A,Night,E8432,2026-02-16T08:00:00,2026-02-16T08:02:00,1,2,51,47,0.636,1-3 years,New Hire
2026-04-05,West,PHX1,Support,Manager A,Night,E5458,2026-04-05T14:00:00,2026-04-05T13:54:00,0,-6,60,56,0.57,3+ years,Experienced
2026-05-05,East,DAL1,Inbound,Manager A,Afternoon,E6053,2026-05-05T22:00:00,2026-05-05T21:53:00,0,-7,76,69,0.787,0-3 months,New Hire
2026-04-12,East,SEA1,Outbound,Manager B,Morning,E8055,2026-04-12T06:00:00,2026-04-12T05:56:00,0,-4,77,64,0.553,3-12 months,New Hire
2026-04-08,Central,ATL1,Support,Manager C,Night,E8033,2026-04-08T08:00:00,2026-04-08T08:03:00,1,3,95,71,0.918,3+ years,Experienced
2026-03-16,West,DAL1,Outbound,Manager B,Morning,E8155,2026-03-16T06:00:00,2026-03-16T06:01:00,0,1,98,93,0.918,0-3 months,New Hire
2026-04-22,East,ATL1,Outbound,Manager C,Morning,E2868,2026-04-22T22:00:00,2026-04-22T21:55:00,0,-5,82,77,0.581,3-12 months,Experienced
2026-03-31,West,SEA2,Inbound,Manager C,Morning,E9095,2026-03-31T08:00:00,2026-03-31T08:01:00,0,1,59,55,0.812,3+ years,Experienced
2026-06-24,Central,PHX1,Outbound,Manager A,Morning,E9312,2026-06-24T14:00:00,2026-06-24T14:02:00,0,2,78,74,0.787,0-3 months,Experienced
2026-04-29,East,SEA1,Outbound,Manager C,Morning,E1672,2026-04-29T22:00:00,2026-04-29T22:06:00,1,6,118,106,0.704,3+ years,New Hire
2026-03-24,West,ATL1,Inbound,Manager D,Morning,E8172,2026-03-24T22:00:00,2026-03-24T22:22:00,1,22,50,43,0.619,3+ years,New Hire
2026-04-04,West,PHX1,Outbound,Manager C,Afternoon,E7333,2026-04-04T14:00:00,2026-04-04T13:52:00,0,-8,120,109,0.576,1-3 years,Experienced
2026-06-18,West,PHX1,Support,Manager B,Morning,E6072,2026-06-18T08:00:00,2026-06-18T07:56:00,0,-4,90,70,0.834,3+ years,Experienced
2026-02-02,West,DAL1,Outbound,Manager A,Night,E4711,2026-02-02T06:00:00,2026-02-02T05:54:00,0,-6,67,55,0.856,3-12 months,New Hire
2026-01-20,West,SEA1,Support,Manager A,Night,E3712,2026-01-20T14:00:00,2026-01-20T14:01:00,0,1,56,50,0.612,3+ years,New Hire
2026-04-16,Central,SEA2,Support,Manager C,Afternoon,E4178,2026-04-16T14:00:00,2026-04-16T13:59:00,0,-1,69,60,0.674,1-3 years,Experienced
2026-04-29,East,DAL1,Support,Manager D,Night,E8873,2026-04-29T14:00:00,2026-04-29T13:55:00,0,-5,117,91,0.65,1-3 years,New Hire
2026-05-13,West,PHX1,Inbound,Manager C,Morning,E8391,2026-05-13T06:00:00,2026-05-13T06:00:00,0,0,58,55,0.587,1-3 years,New Hire
2026-04-17,West,DAL1,Outbound,Manager B,Night,E6493,2026-04-17T06:00:00,2026-04-17T05:53:00,0,-7,87,70,0.677,3-12 months,New Hire
2026-01-10,West,DAL1,Inbound,Manager D,Night,E9991,2026-01-10T14:00:00,2026-01-10T13:52:00,0,-8,50,37,0.636,3+ years,New Hire
2026-03-15,Central,PHX1,Inbound,Manager B,Morning,E9782,2026-03-15T08:00:00,2026-03-15T08:01:00,0,1,98,75,0.885,0-3 months,New Hire
2026-02-06,Central,DAL1,Support,Manager C,Morning,E2108,2026-02-06T14:00:00,2026-02-06T13:58:00,0,-2,63,57,0.584,0-3 months,Experienced
2026-05-01,West,DAL1,Outbound,Manager A,Afternoon,E6447,2026-05-01T06:00:00,2026-05-01T05:53:00,0,-7,84,68,0.813,3-12 months,New Hire
2026-04-01,West,SEA2,Outbound,Manager D,Night,E5807,2026-04-01T14:00:00,2026-04-01T13:54:00,0,-6,48,44,0.927,3-12 months,New Hire
2026-02-21,West,PHX1,Support,Manager D,Afternoon,E5687,2026-02-21T06:00:00,2026-02-21T06:00:00,0,0,100,81,0.851,1-3 years,New Hire
2026-06-17,West,PHX1,Outbound,Manager D,Morning,E9129,2026-06-17T14:00:00,2026-06-17T14:03:00,0,3,96,93,0.705,3+ years,Experienced
2026-05-13,Central,SEA1,Outbound,Manager A,Night,E5843,2026-05-13T14:00:00,2026-05-13T13:54:00,0,-6,109,89,0.591,1-3 years,Experienced
2026-06-04,East,SEA2,Outbound,Manager C,Night,E1939,2026-06-04T22:00:00,2026-06-04T22:03:00,0,3,85,76,0.724,0-3 months,Experienced
2026-04-04,Central,SEA1,Support,Manager D,Morning,E1530,2026-04-04T08:00:00,2026-04-04T08:05:00,1,5,70,66,0.697,3-12 months,Experienced
2026-04-05,West,DAL1,Support,Manager B,Morning,E1424,2026-04-05T14:00:00,2026-04-05T13:58:00,0,-2,80,72,0.65,3-12 months,Experienced
2026-05-13,Central,ATL1,Outbound,Manager C,Morning,E4279,2026-05-13T22:00:00,2026-05-13T21:55:00,0,-5,118,96,0.917,0-3 months,New Hire
2026-01-19,Central,SEA2,Outbound,Manager A,Night,E5914,2026-01-19T22:00:00,2026-01-19T21:57:00,0,-3,84,77,0.77,3-12 months,New Hire
2026-04-03,East,SEA1,Inbound,Manager B,Morning,E3126,2026-04-03T08:00:00,2026-04-03T07:52:00,0,-8,86,76,0.698,0-3 months,New Hire
2026-03-21,Central,DAL1,Outbound,Manager D,Night,E8632,2026-03-21T22:00:00,2026-03-21T21:53:00,0,-7,56,55,0.807,1-3 years,New Hire
2026-05-22,East,SEA2,Support,Manager A,Afternoon,E4694,2026-05-22T08:00:00,2026-05-22T08:00:00,0,0,59,48,0.615,1-3 years,Experienced
2026-01-21,West,SEA2,Support,Manager C,Night,E3526,2026-01-21T14:00:00,2026-01-21T14:20:00,1,20,118,104,0.751,3-12 months,Experienced
2026-05-25,East,SEA1,Inbound,Manager C,Morning,E9938,2026-05-25T06:00:00,2026-05-25T06:01:00,0,1,93,84,0.562,1-3 years,Experienced
2026-05-04,Central,DAL1,Outbound,Manager A,Afternoon,E3353,2026-05-04T08:00:00,2026-05-04T07:54:00,0,-6,96,81,0.736,1-3 years,Experienced
2026-03-30,West,SEA2,Support,Manager A,Afternoon,E1829,2026-03-30T22:00:00,2026-03-30T21:59:00,0,-1,55,44,0.649,1-3 years,Experienced
2026-06-07,Central,SEA2,Outbound,Manager C,Morning,E9148,2026-06-07T22:00:00,2026-06-07T21:54:00,0,-6,103,102,0.737,0-3 months,New Hire
2026-04-11,East,SEA2,Support,Manager C,Morning,E8710,2026-04-11T22:00:00,2026-04-11T22:19:00,1,19,103,92,0.887,1-3 years,New Hire
2026-01-28,West,SEA2,Support,Manager C,Afternoon,E6939,2026-01-28T22:00:00,2026-01-28T21:57:00,0,-3,45,38,0.778,1-3 years,New Hire
2026-04-09,East,ATL1,Support,Manager A,Afternoon,E6990,2026-04-09T22:00:00,2026-04-09T22:07:00,1,7,90,75,0.945,3-12 months,New Hire
2026-06-04,East,ATL1,Inbound,Manager A,Morning,E3290,2026-06-04T22:00:00,2026-06-04T22:22:00,1,22,100,87,0.61,1-3 years,Experienced
2026-02-11,Central,ATL1,Outbound,Manager C,Night,E1272,2026-02-11T22:00:00,2026-02-11T22:00:00,0,0,108,94,0.775,1-3 years,Experienced
2026-06-22,East,DAL1,Outbound,Manager A,Night,E8871,2026-06-22T06:00:00,2026-06-22T05:56:00,0,-4,114,101,0.839,3-12 months,Experienced
2026-02-07,West,SEA1,Support,Manager A,Night,E7723,2026-02-07T08:00:00,2026-02-07T07:59:00,0,-1,80,68,0.715,3+ years,New Hire
2026-02-05,East,ATL1,Support,Manager D,Afternoon,E6804,2026-02-05T08:00:00,2026-02-05T07:57:00,0,-3,62,53,0.763,1-3 years,Experienced
2026-02-19,Central,PHX1,Outbound,Manager B,Night,E6194,2026-02-19T08:00:00,2026-02-19T07:56:00,0,-4,76,70,0.826,3+ years,Experienced
2026-05-24,Central,PHX1,Support,Manager D,Morning,E1689,2026-05-24T14:00:00,2026-05-24T13:58:00,0,-2,84,83,0.872,1-3 years,New Hire
2026-03-30,West,PHX1,Outbound,Manager B,Night,E2789,2026-03-30T22:00:00,2026-03-30T22:00:00,0,0,74,72,0.828,3-12 months,New Hire
2026-01-13,East,SEA2,Inbound,Manager D,Morning,E3587,2026-01-13T08:00:00,2026-01-13T07:59:00,0,-1,52,47,0.605,3+ years,Experienced
2026-05-03,West,PHX1,Outbound,Manager A,Afternoon,E3868,2026-05-03T08:00:00,2026-05-03T07:53:00,0,-7,113,91,0.845,3+ years,New Hire
2026-01-10,Central,DAL1,Support,Manager C,Morning,E5662,2026-01-10T22:00:00,2026-01-10T21:52:00,0,-8,78,69,0.593,3+ years,Experienced
2026-02-04,Central,PHX1,Inbound,Manager C,Morning,E5833,2026-02-04T22:00:00,2026-02-04T22:30:00,1,30,72,66,0.556,3-12 months,New Hire
2026-06-06,West,DAL1,Outbound,Manager A,Night,E1111,2026-06-06T22:00:00,2026-06-06T21:53:00,0,-7,63,62,0.741,1-3 years,Experienced
2026-03-02,Central,PHX1,Outbound,Manager A,Afternoon,E3616,2026-03-02T22:00:00,2026-03-02T21:57:00,0,-3,70,53,0.597,3+ years,Experienced
2026-06-26,East,PHX1,Support,Manager B,Afternoon,E7121,2026-06-26T06:00:00,2026-06-26T05:54:00,0,-6,101,79,0.849,3+ years,Experienced
2026-05-18,West,SEA2,Support,Manager A,Night,E9972,2026-05-18T08:00:00,2026-05-18T08:00:00,0,0,86,66,0.776,3-12 months,New Hire
2026-02-12,West,ATL1,Inbound,Manager B,Afternoon,E8429,2026-02-12T14:00:00,2026-02-12T13:59:00,0,-1,51,49,0.728,3-12 months,Experienced
2026-04-27,East,ATL1,Support,Manager C,Afternoon,E2196,2026-04-27T06:00:00,2026-04-27T05:58:00,0,-2,72,68,0.848,0-3 months,Experienced
2026-03-30,East,ATL1,Inbound,Manager D,Morning,E7887,2026-03-30T06:00:00,2026-03-30T06:27:00,1,27,63,59,0.856,1-3 years,Experienced
2026-04-25,East,DAL1,Support,Manager B,Morning,E3086,2026-04-25T22:00:00,2026-04-25T21:57:00,0,-3,55,43,0.765,3-12 months,New Hire
2026-01-06,West,DAL1,Support,Manager D,Night,E2848,2026-01-06T14:00:00,2026-01-06T13:55:00,0,-5,71,61,0.612,0-3 months,Experienced
2026-06-07,West,SEA2,Inbound,Manager A,Morning,E1724,2026-06-07T06:00:00,2026-06-07T05:59:00,0,-1,116,106,0.899,3+ years,Experienced
2026-03-01,East,SEA1,Support,Manager C,Morning,E6253,2026-03-01T08:00:00,2026-03-01T08:03:00,0,3,113,93,0.789,3-12 months,Experienced
2026-02-06,Central,DAL1,Outbound,Manager A,Afternoon,E1768,2026-02-06T08:00:00,2026-02-06T08:01:00,0,1,62,56,0.721,1-3 years,Experienced
2026-05-15,East,DAL1,Inbound,Manager C,Afternoon,E3365,2026-05-15T14:00:00,2026-05-15T14:00:00,0,0,100,81,0.64,3+ years,New Hire
2026-05-24,Central,DAL1,Support,Manager B,Night,E7079,2026-05-24T22:00:00,2026-05-24T21:56:00,0,-4,66,54,0.582,0-3 months,New Hire
2026-01-14,Central,DAL1,Support,Manager A,Night,E4422,2026-01-14T14:00:00,2026-01-14T13:55:00,0,-5,115,107,0.774,1-3 years,Experienced
2026-01-04,West,SEA2,Inbound,Manager D,Night,E6269,2026-01-04T08:00:00,2026-01-04T08:03:00,0,3,117,108,0.709,1-3 years,Experienced
2026-04-30,West,PHX1,Outbound,Manager D,Afternoon,E7073,2026-04-30T14:00:00,2026-04-30T14:03:00,0,3,100,94,0.678,1-3 years,Experienced
2026-01-12,West,SEA2,Outbound,Manager D,Morning,E9180,2026-01-12T08:00:00,2026-01-12T07:55:00,0,-5,82,66,0.778,1-3 years,Experienced
2026-05-06,East,DAL1,Support,Manager C,Morning,E1962,2026-05-06T22:00:00,2026-05-06T22:35:00,1,35,102,81,0.906,0-3 months,New Hire
2026-06-21,West,SEA1,Inbound,Manager B,Afternoon,E8916,2026-06-21T06:00:00,2026-06-21T06:10:00,1,10,41,32,0.732,3+ years,New Hire
2026-01-02,Central,SEA1,Support,Manager C,Morning,E3937,2026-01-02T22:00:00,2026-01-02T21:56:00,0,-4,42,36,0.829,0-3 months,New Hire
2026-05-15,Central,SEA2,Support,Manager C,Morning,E4984,2026-05-15T08:00:00,2026-05-15T07:56:00,0,-4,90,69,0.934,3-12 months,Experienced
2026-06-25,West,SEA1,Outbound,Manager D,Morning,E9189,2026-06-25T06:00:00,2026-06-25T05:59:00,0,-1,47,42,0.831,3+ years,Experienced
2026-05-25,West,ATL1,Inbound,Manager B,Morning,E5593,2026-05-25T06:00:00,2026-05-25T06:03:00,0,3,112,97,0.569,0-3 months,New Hire
2026-03-22,Central,SEA2,Inbound,Manager D,Night,E9856,2026-03-22T06:00:00,2026-03-22T05:56:00,0,-4,60,53,0.777,1-3 years,Experienced
2026-02-05,East,ATL1,Outbound,Manager A,Night,E7499,2026-02-05T06:00:00,2026-02-05T06:15:00,1,15,49,40,0.858,1-3 years,New Hire
2026-06-12,Central,DAL1,Inbound,Manager C,Afternoon,E2404,2026-06-12T14:00:00,2026-06-12T13:58:00,0,-2,95,75,0.784,1-3 years,New Hire
2026-01-19,Central,PHX1,Outbound,Manager B,Morning,E8286,2026-01-19T06:00:00,2026-01-19T05:57:00,0,-3,86,66,0.552,1-3 years,Experienced
