plan_week,region,node_type,origin_node,destination_node,lane_id,ship_method,forecasted_packages,actual_packages,planned_capacity,available_capacity,capacity_utilization,volume_variance,forecast_error_pct,cost_per_package,on_time_delivery_rate,missed_promise_units,backlog_units,labor_hours,trailer_count
2026-01-05,East,Delivery Station,EWR4,JFK8,EWR4-JFK8,Linehaul,126438,149324,140074,-9250,1.066,22886,0.181,1.12,0.9391,7476,9790,12054,93
2026-01-05,East,Delivery Station,EWR4,JFK8,EWR4-JFK8,Ground,103818,106407,113286,6879,0.9393,2589,0.0249,1.22,0.9787,1917,1748,8773,64
2026-01-05,East,Fulfillment Center,EWR4,JFK8,EWR4-JFK8,Ground,84693,89019,92309,3290,0.9644,4326,0.0511,1.27,0.979,1567,704,5829,61
2026-01-05,East,Delivery Station,JFK8,BOS6,JFK8-BOS6,Ground,77134,75237,87591,12354,0.859,-1897,-0.0246,1.47,0.9505,4312,825,6643,42
2026-01-05,East,Fulfillment Center,JFK8,BOS6,JFK8-BOS6,Ground,77432,75406,84328,8922,0.8942,-2026,-0.0262,1.42,0.9459,3517,945,5042,46
2026-01-05,East,Fulfillment Center,PHL6,BOS6,PHL6-BOS6,Ground,102750,114853,107096,-7757,1.0724,12103,0.1178,1.59,0.9552,4011,9142,9482,86
2026-01-05,East,Delivery Station,PHL6,BOS6,PHL6-BOS6,Air,75964,74535,85761,11226,0.8691,-1429,-0.0188,1.81,0.9402,4591,1544,5858,60
2026-01-05,South,Delivery Station,ATL2,MIA5,ATL2-MIA5,Linehaul,132180,127791,151843,24052,0.8416,-4389,-0.0332,1.19,0.9553,5827,1226,8859,73
2026-01-05,South,Delivery Station,ATL2,MIA5,ATL2-MIA5,Ground,62340,58757,74543,15786,0.7882,-3583,-0.0575,1.51,0.9643,2170,2073,4839,41
2026-01-05,South,Fulfillment Center,ATL2,MIA5,ATL2-MIA5,Ground,122331,116615,112266,-4349,1.0387,-5716,-0.0467,1.32,0.9726,2721,6230,10212,89
2026-01-05,South,Fulfillment Center,ATL2,MIA5,ATL2-MIA5,Ground,65026,66490,77988,11498,0.8526,1464,0.0225,1.56,0.953,3360,915,6186,52
2026-01-05,South,Fulfillment Center,ATL2,MIA5,ATL2-MIA5,Ground,157128,163044,168090,5046,0.97,5916,0.0377,1.48,0.9581,6616,1338,10428,120
2026-01-05,South,Delivery Station,BNA3,ATL2,BNA3-ATL2,Air,54465,57246,57005,-241,1.0042,2781,0.0511,2.29,0.9585,2310,528,4551,40
2026-01-05,South,Fulfillment Center,CLT5,RDU2,CLT5-RDU2,Linehaul,136583,144445,158023,13578,0.9141,7862,0.0576,1.21,0.9742,3861,1263,12575,103
2026-01-05,South,Delivery Station,CLT5,RDU2,CLT5-RDU2,Ground,25140,27450,30504,3054,0.8999,2310,0.0919,1.24,0.9604,1022,1850,2395,16
2026-01-05,South,Fulfillment Center,CLT5,RDU2,CLT5-RDU2,Air,48513,51568,55444,3876,0.9301,3055,0.063,1.82,0.9816,732,480,5138,42
2026-01-05,South,Sort Center,MIA5,ATL2,MIA5-ATL2,Air,38242,34984,32969,-2015,1.0611,-3258,-0.0852,1.87,0.9425,1455,3302,3207,21
2026-01-05,South,Delivery Station,MIA5,ATL2,MIA5-ATL2,Air,81903,98774,89457,-9317,1.1042,16871,0.206,1.79,0.9672,2641,11235,9155,72
2026-01-05,South,Fulfillment Center,MIA5,ATL2,MIA5-ATL2,Ground,117802,120978,123650,2672,0.9784,3176,0.027,1.26,0.968,3519,821,10571,98
2026-01-05,South,Fulfillment Center,MIA5,ATL2,MIA5-ATL2,Linehaul,43586,43916,44292,376,0.9915,330,0.0076,1.32,0.9504,1569,496,3126,27
2026-01-05,South,Fulfillment Center,RDU2,CLT5,RDU2-CLT5,Linehaul,122011,129743,148020,18277,0.8765,7732,0.0634,1.13,0.9365,6970,615,11058,77
2026-01-05,South,Sort Center,RDU2,CLT5,RDU2-CLT5,Linehaul,80832,83435,95956,12521,0.8695,2603,0.0322,1.3,0.9742,2229,1241,7571,52
2026-01-05,South,Fulfillment Center,RDU2,CLT5,RDU2-CLT5,Air,118911,108106,133762,25656,0.8082,-10805,-0.0909,1.76,0.9636,3342,1143,9835,81
2026-01-05,South,Fulfillment Center,RDU2,CLT5,RDU2-CLT5,Linehaul,38523,36947,40505,3558,0.9122,-1576,-0.0409,1.35,0.9807,811,678,3060,26
2026-01-05,West,Sort Center,DEN4,SLC2,DEN4-SLC2,Ground,98813,93096,104056,10960,0.8947,-5717,-0.0579,1.22,0.963,4033,1328,8581,59
2026-01-05,West,Sort Center,DEN4,SLC2,DEN4-SLC2,Linehaul,136992,134289,140892,6603,0.9531,-2703,-0.0197,1.18,0.9496,5054,1379,9975,88
2026-01-05,West,Fulfillment Center,DEN4,SLC2,DEN4-SLC2,Linehaul,182857,169415,201673,32258,0.84,-13442,-0.0735,1.45,0.9759,4273,508,13053,96
2026-01-05,West,Delivery Station,LAS7,PHX3,LAS7-PHX3,Ground,27980,28080,25960,-2120,1.0817,100,0.0036,1.2,0.9767,534,3091,2207,17
2026-01-05,West,Fulfillment Center,LAS7,PHX3,LAS7-PHX3,Ground,72747,68966,89096,20130,0.7741,-3781,-0.052,1.49,0.9481,4227,1257,4395,46
2026-01-05,West,Fulfillment Center,LAS7,PHX3,LAS7-PHX3,Ground,81320,74857,74303,-554,1.0075,-6463,-0.0795,1.28,0.9677,2702,745,6611,49
2026-01-05,West,Fulfillment Center,LAX9,SAN5,LAX9-SAN5,Linehaul,149935,163971,173183,9212,0.9468,14036,0.0936,1.35,0.9662,6558,424,15662,91
2026-01-05,West,Delivery Station,LAX9,SAN5,LAX9-SAN5,Linehaul,157587,166539,170557,4018,0.9764,8952,0.0568,1.35,0.9459,8942,616,15556,115
2026-01-05,West,Fulfillment Center,PDX5,SFO9,PDX5-SFO9,Same-Day,20113,19825,21028,1203,0.9428,-288,-0.0143,2.26,0.977,418,411,1752,13
2026-01-05,West,Fulfillment Center,PDX5,SFO9,PDX5-SFO9,Ground,46148,49189,57072,7883,0.8619,3041,0.0659,1.23,0.9617,1584,2832,3997,28
2026-01-05,West,Sort Center,PDX5,SFO9,PDX5-SFO9,Air,80019,87711,87347,-364,1.0042,7692,0.0961,1.91,0.9526,3268,901,6672,52
2026-01-05,West,Delivery Station,PDX5,SFO9,PDX5-SFO9,Air,22734,24780,23349,-1431,1.0613,2046,0.09,2.16,0.9434,1392,3179,1992,15
2026-01-05,West,Sort Center,SEA1,PDX5,SEA1-PDX5,Air,65259,65160,73477,8317,0.8868,-99,-0.0015,1.83,0.9788,989,1899,4464,37
2026-01-05,West,Sort Center,SEA1,PDX5,SEA1-PDX5,Ground,115914,117191,128856,11665,0.9095,1277,0.011,1.52,0.9521,6631,1085,10547,78
2026-01-05,West,Sort Center,SEA1,PDX5,SEA1-PDX5,Ground,110507,119726,114428,-5298,1.0463,9219,0.0834,1.49,0.955,6116,6174,10143,98
2026-01-05,West,Fulfillment Center,SFO9,LAX9,SFO9-LAX9,Air,82619,79484,99586,20102,0.7981,-3135,-0.0379,2.24,0.9698,2428,1487,5970,54
2026-01-05,West,Fulfillment Center,SFO9,LAX9,SFO9-LAX9,Air,30293,32418,30465,-1953,1.0641,2125,0.0701,1.82,0.9654,975,3189,2900,24
2026-01-05,West,Fulfillment Center,SFO9,LAX9,SFO9-LAX9,Air,94508,99717,111027,11310,0.8981,5209,0.0551,2.14,0.9462,4992,2443,9606,67
2026-01-05,West,Sort Center,SFO9,LAX9,SFO9-LAX9,Ground,62709,61862,72808,10946,0.8497,-847,-0.0135,1.24,0.9731,1244,1494,4826,42
2026-01-05,West,Fulfillment Center,SFO9,LAX9,SFO9-LAX9,Ground,77478,82215,93302,11087,0.8812,4737,0.0611,1.38,0.9451,4706,1726,5354,56
2026-01-05,West,Sort Center,SLC2,DEN4,SLC2-DEN4,Ground,124684,112734,127385,14651,0.885,-11950,-0.0958,1.59,0.9731,2840,1249,9379,70
2026-01-12,Central,Fulfillment Center,DFW7,IAH3,DFW7-IAH3,Ground,68036,70013,75225,5212,0.9307,1977,0.0291,1.22,0.9398,4678,338,6749,43
2026-01-12,Central,Delivery Station,DFW7,IAH3,DFW7-IAH3,Ground,96762,76851,73075,-3776,1.0517,-19911,-0.2058,1.33,0.9483,3946,5013,6726,45
2026-01-12,Central,Sort Center,DFW7,IAH3,DFW7-IAH3,Ground,75101,81180,91250,10070,0.8896,6079,0.0809,1.26,0.9389,4870,290,7648,53
2026-01-12,Central,Fulfillment Center,DFW7,IAH3,DFW7-IAH3,Air,110048,98641,117854,19213,0.837,-11407,-0.1037,1.81,0.9718,2588,3116,8951,60
2026-01-12,Central,Delivery Station,IND9,ORD3,IND9-ORD3,Air,22997,23094,23797,703,0.9705,97,0.0042,2.3,0.9474,885,810,1565,16
2026-01-12,Central,Fulfillment Center,IND9,ORD3,IND9-ORD3,Same-Day,77845,70153,79618,9465,0.8811,-7692,-0.0988,2.41,0.9762,1573,2678,6489,51
2026-01-12,Central,Delivery Station,IND9,ORD3,IND9-ORD3,Ground,58524,58313,57005,-1308,1.0229,-211,-0.0036,1.43,0.9565,2050,2231,4361,34
2026-01-12,Central,Sort Center,MSP2,ORD3,MSP2-ORD3,Ground,29346,29501,35967,6466,0.8202,155,0.0053,1.34,0.9714,672,1050,1978,18
2026-01-12,Central,Delivery Station,MSP2,ORD3,MSP2-ORD3,Ground,82439,85973,87927,1954,0.9778,3534,0.0429,1.5,0.938,4233,1449,7507,52
2026-01-12,Central,Sort Center,MSP2,ORD3,MSP2-ORD3,Linehaul,118009,114699,143308,28609,0.8004,-3310,-0.028,1.46,0.9478,6964,958,11400,65
2026-01-12,Central,Delivery Station,ORD3,MSP2,ORD3-MSP2,Ground,88954,81160,96303,15143,0.8428,-7794,-0.0876,1.45,0.975,1427,91,6479,52
2026-01-12,Central,Delivery Station,ORD3,MSP2,ORD3-MSP2,Air,31395,31688,38320,6632,0.8269,293,0.0093,1.81,0.9451,1351,325,3138,22
2026-01-12,Central,Fulfillment Center,ORD3,MSP2,ORD3-MSP2,Ground,112029,116743,126403,9660,0.9236,4714,0.0421,1.58,0.9663,3870,116,9329,82
2026-01-12,Central,Delivery Station,ORD3,MSP2,ORD3-MSP2,Ground,29407,33436,30781,-2655,1.0863,4029,0.137,1.48,0.9381,1672,3175,2837,21
2026-01-12,East,Fulfillment Center,EWR4,JFK8,EWR4-JFK8,Ground,55315,52677,62594,9917,0.8416,-2638,-0.0477,1.53,0.9783,853,584,4784,34
2026-01-12,East,Fulfillment Center,EWR4,JFK8,EWR4-JFK8,Same-Day,19198,21627,19666,-1961,1.0997,2429,0.1265,2.31,0.9506,1041,2087,2116,16
2026-01-12,East,Fulfillment Center,EWR4,JFK8,EWR4-JFK8,Ground,77634,88018,93166,5148,0.9447,10384,0.1338,1.59,0.9446,4500,1461,6096,53
2026-01-12,East,Delivery Station,EWR4,JFK8,EWR4-JFK8,Air,70626,63705,80377,16672,0.7926,-6921,-0.098,2.28,0.963,2117,1092,4352,47
2026-01-12,East,Delivery Station,EWR4,JFK8,EWR4-JFK8,Linehaul,88971,98133,106063,7930,0.9252,9162,0.103,1.36,0.9568,3871,65,6233,58
2026-01-12,East,Sort Center,EWR4,JFK8,EWR4-JFK8,Air,82383,80389,91795,11406,0.8757,-1994,-0.0242,1.94,0.9708,2135,901,6276,45
2026-01-12,East,Sort Center,JFK8,BOS6,JFK8-BOS6,Air,40459,38064,41983,3919,0.9067,-2395,-0.0592,2.08,0.9732,799,1542,2544,23
2026-01-12,East,Fulfillment Center,JFK8,BOS6,JFK8-BOS6,Air,128056,120162,133832,13670,0.8979,-7894,-0.0616,1.78,0.9389,7233,1948,8675,69
2026-01-12,East,Sort Center,JFK8,BOS6,JFK8-BOS6,Ground,52398,50948,62143,11195,0.8199,-1450,-0.0277,1.26,0.9845,564,178,3531,39
2026-01-12,East,Delivery Station,PHL6,BOS6,PHL6-BOS6,Ground,127439,134761,134658,-103,1.0008,7322,0.0575,1.38,0.9739,2620,1393,8529,101
2026-01-12,East,Fulfillment Center,PHL6,BOS6,PHL6-BOS6,Ground,95236,98766,98704,-62,1.0006,3530,0.0371,1.24,0.9316,5479,1010,8073,62
2026-01-12,East,Delivery Station,PHL6,BOS6,PHL6-BOS6,Ground,83405,87582,102232,14650,0.8567,4177,0.0501,1.3,0.9717,2159,373,5552,64
2026-01-12,East,Sort Center,PHL6,BOS6,PHL6-BOS6,Ground,44605,41989,47068,5079,0.8921,-2616,-0.0586,1.59,0.9836,680,233,3576,29
2026-01-12,East,Delivery Station,PHL6,BOS6,PHL6-BOS6,Linehaul,111906,119898,122919,3021,0.9754,7992,0.0714,1.26,0.9533,5978,341,9001,67
2026-01-12,East,Fulfillment Center,PHL6,BOS6,PHL6-BOS6,Air,102558,103129,123570,20441,0.8346,571,0.0056,2.27,0.9458,6226,2565,7822,84
2026-01-12,South,Sort Center,ATL2,MIA5,ATL2-MIA5,Ground,142414,137364,166266,28902,0.8262,-5050,-0.0355,1.29,0.9713,3872,618,10341,102
2026-01-12,South,Fulfillment Center,BNA3,ATL2,BNA3-ATL2,Same-Day,31311,27719,32426,4707,0.8548,-3592,-0.1147,2.13,0.9578,1191,2943,1986,22
2026-01-12,South,Sort Center,BNA3,ATL2,BNA3-ATL2,Ground,114243,141423,135487,-5936,1.0438,27180,0.2379,1.33,0.9632,5231,6588,11155,106
2026-01-12,South,Delivery Station,BNA3,ATL2,BNA3-ATL2,Ground,42847,44220,45419,1199,0.9736,1373,0.032,1.27,0.9468,1863,1034,3987,30
2026-01-12,South,Fulfillment Center,BNA3,ATL2,BNA3-ATL2,Air,58976,64031,59679,-4352,1.0729,5055,0.0857,1.84,0.948,3213,5571,4988,49
2026-01-12,South,Fulfillment Center,BNA3,ATL2,BNA3-ATL2,Air,57263,58669,65345,6676,0.8978,1406,0.0246,1.85,0.97,1526,2507,4266,47
2026-01-12,South,Sort Center,CLT5,RDU2,CLT5-RDU2,Air,53998,59583,63949,4366,0.9317,5585,0.1034,1.82,0.9474,2882,1902,4890,34
2026-01-12,South,Delivery Station,CLT5,RDU2,CLT5-RDU2,Ground,58547,63539,72992,9453,0.8705,4992,0.0853,1.35,0.9636,1734,1390,4894,37
2026-01-12,South,Delivery Station,CLT5,RDU2,CLT5-RDU2,Same-Day,16749,16512,20134,3622,0.8201,-237,-0.0142,2.57,0.9815,306,1181,1100,12
2026-01-12,South,Fulfillment Center,CLT5,RDU2,CLT5-RDU2,Ground,155611,153103,186248,33145,0.822,-2508,-0.0161,1.5,0.9383,8044,717,10834,112
2026-01-12,South,Sort Center,CLT5,RDU2,CLT5-RDU2,Ground,126286,137410,149320,11910,0.9202,11124,0.0881,1.47,0.9805,3176,3233,9045,92
2026-01-12,South,Fulfillment Center,MIA5,ATL2,MIA5-ATL2,Ground,80746,90265,87894,-2371,1.027,9519,0.1179,1.25,0.9286,4739,3380,6658,64
2026-01-12,South,Delivery Station,MIA5,ATL2,MIA5-ATL2,Ground,48474,46208,50573,4365,0.9137,-2266,-0.0467,1.22,0.9607,1383,641,3161,34
2026-01-12,South,Sort Center,MIA5,ATL2,MIA5-ATL2,Ground,110218,106026,120714,14688,0.8783,-4192,-0.038,1.57,0.9606,4743,2424,7935,65
2026-01-12,South,Sort Center,MIA5,ATL2,MIA5-ATL2,Linehaul,146509,152500,166711,14211,0.9148,5991,0.0409,1.45,0.9784,2886,516,11694,126
2026-01-12,South,Sort Center,MIA5,ATL2,MIA5-ATL2,Ground,66547,68685,68289,-396,1.0058,2138,0.0321,1.38,0.9774,1707,1824,6288,49
2026-01-12,South,Delivery Station,RDU2,CLT5,RDU2-CLT5,Ground,92743,96458,101502,5044,0.9503,3715,0.0401,1.54,0.9649,2641,999,8192,71
2026-01-12,South,Delivery Station,RDU2,CLT5,RDU2-CLT5,Ground,94629,87267,106677,19410,0.818,-7362,-0.0778,1.46,0.9405,5305,1413,7673,63
2026-01-12,South,Sort Center,RDU2,CLT5,RDU2-CLT5,Ground,130093,132984,144481,11497,0.9204,2891,0.0222,1.59,0.98,2047,320,9083,75
2026-01-12,West,Sort Center,DEN4,SLC2,DEN4-SLC2,Ground,60582,62745,72122,9377,0.87,2163,0.0357,1.58,0.9378,3215,1168,5654,35
2026-01-12,West,Fulfillment Center,DEN4,SLC2,DEN4-SLC2,Linehaul,34598,43215,42747,-468,1.0109,8617,0.2491,1.21,0.96,1856,2616,3757,24
2026-01-12,West,Fulfillment Center,DEN4,SLC2,DEN4-SLC2,Ground,161443,181556,169756,-11800,1.0695,20113,0.1246,1.5,0.928,9966,11879,16077,114
2026-01-12,West,Fulfillment Center,DEN4,SLC2,DEN4-SLC2,Ground,86265,89702,88730,-972,1.011,3437,0.0398,1.4,0.9316,6593,1606,8561,61
2026-01-12,West,Delivery Station,DEN4,SLC2,DEN4-SLC2,Air,65092,64870,77473,12603,0.8373,-222,-0.0034,2.26,0.9534,2867,1795,6461,47
2026-01-12,West,Fulfillment Center,LAS7,PHX3,LAS7-PHX3,Ground,80682,95524,86224,-9300,1.1079,14842,0.184,1.33,0.957,4841,11411,8162,67
2026-01-12,West,Fulfillment Center,LAX9,SAN5,LAX9-SAN5,Air,53379,51371,60981,9610,0.8424,-2008,-0.0376,2.11,0.9486,1999,2130,4839,33
2026-01-12,West,Sort Center,LAX9,SAN5,LAX9-SAN5,Air,89202,88229,93002,4773,0.9487,-973,-0.0109,1.94,0.9737,2476,2494,6724,54
2026-01-12,West,Sort Center,LAX9,SAN5,LAX9-SAN5,Air,37328,34009,41402,7393,0.8214,-3319,-0.0889,1.85,0.9487,1799,1690,2492,23
2026-01-12,West,Fulfillment Center,LAX9,SAN5,LAX9-SAN5,Ground,88331,78799,77641,-1158,1.0149,-9532,-0.1079,1.55,0.9311,4701,1837,6528,45
2026-01-12,West,Fulfillment Center,LAX9,SAN5,LAX9-SAN5,Ground,164623,166028,169153,3125,0.9815,1405,0.0085,1.42,0.9672,6111,1237,10936,94
2026-01-12,West,Fulfillment Center,LAX9,SAN5,LAX9-SAN5,Ground,150076,134738,135362,624,0.9954,-15338,-0.1022,1.49,0.9545,5466,2474,11597,110
2026-01-12,West,Fulfillment Center,LAX9,SAN5,LAX9-SAN5,Ground,48625,44821,58763,13942,0.7627,-3804,-0.0782,1.56,0.9479,2017,2862,4448,37
2026-01-12,West,Sort Center,PDX5,SFO9,PDX5-SFO9,Ground,55090,61559,57113,-4446,1.0778,6469,0.1174,1.45,0.9572,1996,5998,5910,51
2026-01-12,West,Sort Center,PDX5,SFO9,PDX5-SFO9,Same-Day,28790,31139,33487,2348,0.9299,2349,0.0816,2.54,0.9812,690,2190,1978,19
2026-01-12,West,Delivery Station,PHX3,LAS7,PHX3-LAS7,Ground,77556,84813,91950,7137,0.9224,7257,0.0936,1.5,0.9602,3122,841,5903,67
2026-01-12,West,Fulfillment Center,PHX3,LAS7,PHX3-LAS7,Ground,69277,68769,82196,13427,0.8366,-508,-0.0073,1.41,0.9776,1520,951,6284,40
2026-01-12,West,Sort Center,PHX3,LAS7,PHX3-LAS7,Air,35823,33443,31863,-1580,1.0496,-2380,-0.0664,1.92,0.9512,1956,3402,2498,25
2026-01-12,West,Fulfillment Center,PHX3,LAS7,PHX3-LAS7,Linehaul,113270,129952,119575,-10377,1.0868,16682,0.1473,1.4,0.9241,7627,11976,12462,81
2026-01-12,West,Fulfillment Center,PHX3,LAS7,PHX3-LAS7,Ground,166601,159528,207977,48449,0.767,-7073,-0.0425,1.48,0.939,9187,1504,13632,111
2026-01-12,West,Fulfillment Center,SEA1,PDX5,SEA1-PDX5,Ground,92796,102568,99443,-3125,1.0314,9772,0.1053,1.56,0.9402,6046,3567,6655,78
2026-01-12,West,Fulfillment Center,SEA1,PDX5,SEA1-PDX5,Ground,44755,47278,48033,755,0.9843,2523,0.0564,1.56,0.9727,1471,1639,3776,38
2026-01-12,West,Delivery Station,SFO9,LAX9,SFO9-LAX9,Air,81024,90066,86640,-3426,1.0395,9042,0.1116,1.94,0.969,3064,3923,8663,53
2026-01-12,West,Fulfillment Center,SFO9,LAX9,SFO9-LAX9,Linehaul,93783,97807,99485,1678,0.9831,4024,0.0429,1.33,0.9675,2731,408,8862,76
2026-01-12,West,Sort Center,SFO9,LAX9,SFO9-LAX9,Air,112577,113379,132326,18947,0.8568,802,0.0071,2.3,0.9813,1745,1501,9755,94
2026-01-12,West,Fulfillment Center,SFO9,LAX9,SFO9-LAX9,Ground,65011,63628,69643,6015,0.9136,-1383,-0.0213,1.29,0.9772,1064,1271,5774,39
2026-01-12,West,Fulfillment Center,SLC2,DEN4,SLC2-DEN4,Ground,158455,163033,187847,24814,0.8679,4578,0.0289,1.3,0.9393,11839,939,10881,104
2026-01-12,West,Sort Center,SLC2,DEN4,SLC2-DEN4,Ground,145917,145319,136558,-8761,1.0642,-598,-0.0041,1.44,0.9531,7441,10285,14494,117
2026-01-12,West,Fulfillment Center,SLC2,DEN4,SLC2-DEN4,Ground,71567,78636,89296,10660,0.8806,7069,0.0988,1.35,0.9448,4954,976,5209,44
2026-01-12,West,Delivery Station,SLC2,DEN4,SLC2-DEN4,Ground,96620,98098,104237,6139,0.9411,1478,0.0153,1.4,0.9757,2586,936,7024,63
2026-01-19,Central,Sort Center,DFW7,IAH3,DFW7-IAH3,Air,31110,37960,35868,-2092,1.0583,6850,0.2202,1.79,0.9378,2678,3135,2587,29
2026-01-19,Central,Sort Center,IND9,ORD3,IND9-ORD3,Ground,134346,123538,147468,23930,0.8377,-10808,-0.0804,1.35,0.9456,6462,3116,9345,75
2026-01-19,Central,Fulfillment Center,IND9,ORD3,IND9-ORD3,Ground,32628,33260,35909,2649,0.9262,632,0.0194,1.5,0.9788,821,206,2236,21
2026-01-19,Central,Sort Center,IND9,ORD3,IND9-ORD3,Air,60323,60225,58906,-1319,1.0224,-98,-0.0016,1.93,0.9752,1513,1841,4528,40
2026-01-19,Central,Sort Center,MSP2,ORD3,MSP2-ORD3,Linehaul,52480,55919,60790,4871,0.9199,3439,0.0655,1.21,0.9563,2609,696,3644,34
2026-01-19,Central,Sort Center,MSP2,ORD3,MSP2-ORD3,Air,70657,73174,69108,-4066,1.0588,2517,0.0356,2.04,0.9701,1569,4326,6054,60
2026-01-19,Central,Fulfillment Center,ORD3,MSP2,ORD3-MSP2,Air,37062,41246,38597,-2649,1.0686,4184,0.1129,1.96,0.9588,1256,2983,2717,23
2026-01-19,Central,Sort Center,ORD3,MSP2,ORD3-MSP2,Ground,31085,29944,29627,-317,1.0107,-1141,-0.0367,1.37,0.9485,1276,2515,2113,23
2026-01-19,Central,Fulfillment Center,ORD3,MSP2,ORD3-MSP2,Same-Day,25971,24335,31767,7432,0.766,-1636,-0.063,2.34,0.9785,506,990,2421,14
2026-01-19,Central,Delivery Station,ORD3,MSP2,ORD3-MSP2,Ground,17826,18232,20164,1932,0.9042,406,0.0228,1.25,0.9468,1072,473,1269,10
2026-01-19,Central,Sort Center,ORD3,MSP2,ORD3-MSP2,Ground,93003,85646,111075,25429,0.7711,-7357,-0.0791,1.41,0.9821,1242,2249,6376,56
2026-01-19,Central,Sort Center,ORD3,MSP2,ORD3-MSP2,Ground,117042,112812,140189,27377,0.8047,-4230,-0.0361,1.45,0.9747,2355,835,10712,73
2026-01-19,Central,Fulfillment Center,ORD3,MSP2,ORD3-MSP2,Ground,137147,145776,161029,15253,0.9053,8629,0.0629,1.5,0.9547,7648,960,12365,109
2026-01-19,East,Sort Center,JFK8,BOS6,JFK8-BOS6,Ground,48486,52055,60452,8397,0.8611,3569,0.0736,1.5,0.9571,2612,1796,4273,37
